"Step","codegen-java-LoRa-v7-run-1-lora_rank-1-16-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_rank-1-16-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_rank-1-16-wandb - eval/loss__MAX"
"50","1.16646409034729","1.16646409034729","1.16646409034729"
"101","1.1058083772659302","1.1058083772659302","1.1058083772659302"
"152","1.0779521465301514","1.0779521465301514","1.0779521465301514"
"203","1.0655394792556763","1.0655394792556763","1.0655394792556763"
"254","1.047804832458496","1.047804832458496","1.047804832458496"
"305","1.0360161066055298","1.0360161066055298","1.0360161066055298"
"356","1.024501085281372","1.024501085281372","1.024501085281372"
"407","1.0198967456817627","1.0198967456817627","1.0198967456817627"
"458","1.0142613649368286","1.0142613649368286","1.0142613649368286"
"509","1.0084549188613892","1.0084549188613892","1.0084549188613892"
"560","1.0031520128250122","1.0031520128250122","1.0031520128250122"
"611","1.0005146265029907","1.0005146265029907","1.0005146265029907"
"662","0.9978471994400024","0.9978471994400024","0.9978471994400024"
"713","0.9953575134277344","0.9953575134277344","0.9953575134277344"
"764","0.9969798922538757","0.9969798922538757","0.9969798922538757"
"815","0.9933715462684631","0.9933715462684631","0.9933715462684631"
"866","0.9931380152702332","0.9931380152702332","0.9931380152702332"
"917","0.992167592048645","0.992167592048645","0.992167592048645"
"968","0.991883397102356","0.991883397102356","0.991883397102356"
"1019","0.991832971572876","0.991832971572876","0.991832971572876"
