"Step","codegen-java-LoRa-v7-run-1-lora_rank-3-64-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_rank-3-64-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_rank-3-64-wandb - eval/loss__MAX"
"50","1.1669704914093018","1.1669704914093018","1.1669704914093018"
"101","1.1040699481964111","1.1040699481964111","1.1040699481964111"
"152","1.0748041868209839","1.0748041868209839","1.0748041868209839"
"203","1.0621832609176636","1.0621832609176636","1.0621832609176636"
"254","1.04505455493927","1.04505455493927","1.04505455493927"
"305","1.032668113708496","1.032668113708496","1.032668113708496"
"356","1.021530270576477","1.021530270576477","1.021530270576477"
"407","1.01688814163208","1.01688814163208","1.01688814163208"
"458","1.0115063190460205","1.0115063190460205","1.0115063190460205"
"509","1.006003499031067","1.006003499031067","1.006003499031067"
"560","1.0007319450378418","1.0007319450378418","1.0007319450378418"
"611","0.9976291060447693","0.9976291060447693","0.9976291060447693"
"662","0.9956855177879333","0.9956855177879333","0.9956855177879333"
"713","0.9930614829063416","0.9930614829063416","0.9930614829063416"
"764","0.9961197972297668","0.9961197972297668","0.9961197972297668"
"815","0.9914631247520447","0.9914631247520447","0.9914631247520447"
"866","0.9912638664245605","0.9912638664245605","0.9912638664245605"
"917","0.9902136325836182","0.9902136325836182","0.9902136325836182"
"968","0.989906907081604","0.989906907081604","0.989906907081604"
"1019","0.9898518919944763","0.9898518919944763","0.9898518919944763"
