"Step","codegen-java-LoRa-v7-run-1-lora_rank-0-8-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_rank-0-8-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_rank-0-8-wandb - eval/loss__MAX"
"50","1.1662495136260986","1.1662495136260986","1.1662495136260986"
"101","1.1075642108917236","1.1075642108917236","1.1075642108917236"
"152","1.0805162191390991","1.0805162191390991","1.0805162191390991"
"203","1.0682015419006348","1.0682015419006348","1.0682015419006348"
"254","1.0506048202514648","1.0506048202514648","1.0506048202514648"
"305","1.0395970344543457","1.0395970344543457","1.0395970344543457"
"356","1.0270355939865112","1.0270355939865112","1.0270355939865112"
"407","1.0224722623825073","1.0224722623825073","1.0224722623825073"
"458","1.0172948837280273","1.0172948837280273","1.0172948837280273"
"509","1.011157512664795","1.011157512664795","1.011157512664795"
"560","1.0059525966644287","1.0059525966644287","1.0059525966644287"
"611","1.0031107664108276","1.0031107664108276","1.0031107664108276"
"662","1.000707745552063","1.000707745552063","1.000707745552063"
"713","0.9982394576072693","0.9982394576072693","0.9982394576072693"
"764","0.9998306632041931","0.9998306632041931","0.9998306632041931"
"815","0.9965823888778687","0.9965823888778687","0.9965823888778687"
"866","0.9962800741195679","0.9962800741195679","0.9962800741195679"
"917","0.9953757524490356","0.9953757524490356","0.9953757524490356"
"968","0.9950788617134094","0.9950788617134094","0.9950788617134094"
"1019","0.9950178265571594","0.9950178265571594","0.9950178265571594"
