"Step","codegen-java-LoRa-v7-run-1-lora_rank-2-32-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_rank-2-32-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_rank-2-32-wandb - eval/loss__MAX"
"50","1.1668392419815063","1.1668392419815063","1.1668392419815063"
"101","1.1043422222137451","1.1043422222137451","1.1043422222137451"
"152","1.0752454996109009","1.0752454996109009","1.0752454996109009"
"203","1.0628055334091187","1.0628055334091187","1.0628055334091187"
"254","1.0455873012542725","1.0455873012542725","1.0455873012542725"
"305","1.0336698293685913","1.0336698293685913","1.0336698293685913"
"356","1.022538185119629","1.022538185119629","1.022538185119629"
"407","1.017907977104187","1.017907977104187","1.017907977104187"
"458","1.0124610662460327","1.0124610662460327","1.0124610662460327"
"509","1.0068687200546265","1.0068687200546265","1.0068687200546265"
"560","1.001654863357544","1.001654863357544","1.001654863357544"
"611","0.9988769888877869","0.9988769888877869","0.9988769888877869"
"662","0.9968212842941284","0.9968212842941284","0.9968212842941284"
"713","0.9941970109939575","0.9941970109939575","0.9941970109939575"
"764","0.9968767762184143","0.9968767762184143","0.9968767762184143"
"815","0.9926095008850098","0.9926095008850098","0.9926095008850098"
"866","0.9923574924468994","0.9923574924468994","0.9923574924468994"
"917","0.9913610219955444","0.9913610219955444","0.9913610219955444"
"968","0.991067111492157","0.991067111492157","0.991067111492157"
"1019","0.9910231828689575","0.9910231828689575","0.9910231828689575"
