"Step","codegen-java-LoRa-v7-run-1-lora_rank-4-128-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_rank-4-128-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_rank-4-128-wandb - eval/loss__MAX"
"50","1.1674331426620483","1.1674331426620483","1.1674331426620483"
"101","1.1044323444366455","1.1044323444366455","1.1044323444366455"
"152","1.075087308883667","1.075087308883667","1.075087308883667"
"203","1.0623314380645752","1.0623314380645752","1.0623314380645752"
"254","1.0449447631835938","1.0449447631835938","1.0449447631835938"
"305","1.0324627161026","1.0324627161026","1.0324627161026"
"356","1.0213629007339478","1.0213629007339478","1.0213629007339478"
"407","1.0166741609573364","1.0166741609573364","1.0166741609573364"
"458","1.0112632513046265","1.0112632513046265","1.0112632513046265"
"509","1.0057414770126343","1.0057414770126343","1.0057414770126343"
"560","1.000556230545044","1.000556230545044","1.000556230545044"
"611","0.9974278807640076","0.9974278807640076","0.9974278807640076"
"662","0.9954404234886169","0.9954404234886169","0.9954404234886169"
"713","0.9929022789001465","0.9929022789001465","0.9929022789001465"
"764","0.9958347082138062","0.9958347082138062","0.9958347082138062"
"815","0.99126797914505","0.99126797914505","0.99126797914505"
"866","0.9911371469497681","0.9911371469497681","0.9911371469497681"
"917","0.9900877475738525","0.9900877475738525","0.9900877475738525"
"968","0.9897573590278625","0.9897573590278625","0.9897573590278625"
"1019","0.9897197484970093","0.9897197484970093","0.9897197484970093"
