"Step","codegen-java-LoRa-v7-run-1-learning_rate-1-1e-05-wandb - eval/loss","codegen-java-LoRa-v7-run-1-learning_rate-1-1e-05-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-learning_rate-1-1e-05-wandb - eval/loss__MAX"
"50","1.2104902267456055","1.2104902267456055","1.2104902267456055"
"101","1.16965913772583","1.16965913772583","1.16965913772583"
"152","1.144304633140564","1.144304633140564","1.144304633140564"
"203","1.1273554563522339","1.1273554563522339","1.1273554563522339"
"254","1.11381196975708","1.11381196975708","1.11381196975708"
"305","1.101589322090149","1.101589322090149","1.101589322090149"
"356","1.0914291143417358","1.0914291143417358","1.0914291143417358"
"407","1.0847817659378052","1.0847817659378052","1.0847817659378052"
"458","1.0797463655471802","1.0797463655471802","1.0797463655471802"
"509","1.0742493867874146","1.0742493867874146","1.0742493867874146"
"560","1.0702917575836182","1.0702917575836182","1.0702917575836182"
"611","1.0671446323394775","1.0671446323394775","1.0671446323394775"
"662","1.0652672052383423","1.0652672052383423","1.0652672052383423"
"713","1.0634205341339111","1.0634205341339111","1.0634205341339111"
"764","1.0628483295440674","1.0628483295440674","1.0628483295440674"
"815","1.0616637468338013","1.0616637468338013","1.0616637468338013"
"866","1.0615190267562866","1.0615190267562866","1.0615190267562866"
"917","1.0610603094100952","1.0610603094100952","1.0610603094100952"
"968","1.0609227418899536","1.0609227418899536","1.0609227418899536"
"1019","1.0608834028244019","1.0608834028244019","1.0608834028244019"
