"Step","codegen-java-LoRa-v7-run-1-learning_rate-3-0.0005-wandb - eval/loss","codegen-java-LoRa-v7-run-1-learning_rate-3-0.0005-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-learning_rate-3-0.0005-wandb - eval/loss__MAX"
"50","1.0883629322052002","1.0883629322052002","1.0883629322052002"
"101","1.0413610935211182","1.0413610935211182","1.0413610935211182"
"152","1.0343133211135864","1.0343133211135864","1.0343133211135864"
"203","1.0345661640167236","1.0345661640167236","1.0345661640167236"
"254","1.0204930305480957","1.0204930305480957","1.0204930305480957"
"305","1.0045592784881592","1.0045592784881592","1.0045592784881592"
"356","0.985079824924469","0.985079824924469","0.985079824924469"
"407","0.9807218313217163","0.9807218313217163","0.9807218313217163"
"458","0.9796268343925476","0.9796268343925476","0.9796268343925476"
"509","0.9640769958496094","0.9640769958496094","0.9640769958496094"
"560","0.9554026126861572","0.9554026126861572","0.9554026126861572"
"611","0.9490780830383301","0.9490780830383301","0.9490780830383301"
"662","0.9448428153991699","0.9448428153991699","0.9448428153991699"
"713","0.9363036155700684","0.9363036155700684","0.9363036155700684"
"764","0.95451819896698","0.95451819896698","0.95451819896698"
"815","0.9317235350608826","0.9317235350608826","0.9317235350608826"
"866","0.9304660558700562","0.9304660558700562","0.9304660558700562"
"917","0.9264284372329712","0.9264284372329712","0.9264284372329712"
"968","0.9253005981445312","0.9253005981445312","0.9253005981445312"
"1019","0.9251011610031128","0.9251011610031128","0.9251011610031128"
