"Step","codegen-java-LoRa-v7-run-1-learning_rate-0-5e-06-wandb - eval/loss","codegen-java-LoRa-v7-run-1-learning_rate-0-5e-06-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-learning_rate-0-5e-06-wandb - eval/loss__MAX"
"50","1.219504475593567","1.219504475593567","1.219504475593567"
"101","1.1922184228897095","1.1922184228897095","1.1922184228897095"
"152","1.1717278957366943","1.1717278957366943","1.1717278957366943"
"203","1.1565319299697876","1.1565319299697876","1.1565319299697876"
"254","1.1458834409713745","1.1458834409713745","1.1458834409713745"
"305","1.135663628578186","1.135663628578186","1.135663628578186"
"356","1.1267603635787964","1.1267603635787964","1.1267603635787964"
"407","1.1199445724487305","1.1199445724487305","1.1199445724487305"
"458","1.114752173423767","1.114752173423767","1.114752173423767"
"509","1.109664797782898","1.109664797782898","1.109664797782898"
"560","1.1055324077606201","1.1055324077606201","1.1055324077606201"
"611","1.1026027202606201","1.1026027202606201","1.1026027202606201"
"662","1.1006386280059814","1.1006386280059814","1.1006386280059814"
"713","1.098964810371399","1.098964810371399","1.098964810371399"
"764","1.0980558395385742","1.0980558395385742","1.0980558395385742"
"815","1.0973033905029297","1.0973033905029297","1.0973033905029297"
"866","1.0970609188079834","1.0970609188079834","1.0970609188079834"
"917","1.0967539548873901","1.0967539548873901","1.0967539548873901"
"968","1.0966259241104126","1.0966259241104126","1.0966259241104126"
"1019","1.096603274345398","1.096603274345398","1.096603274345398"
