"Step","codegen-java-LoRa-v7-run-1-learning_rate-2-5e-05-wandb - eval/loss","codegen-java-LoRa-v7-run-1-learning_rate-2-5e-05-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-learning_rate-2-5e-05-wandb - eval/loss__MAX"
"50","1.1669429540634155","1.1669429540634155","1.1669429540634155"
"101","1.1043603420257568","1.1043603420257568","1.1043603420257568"
"152","1.0750868320465088","1.0750868320465088","1.0750868320465088"
"203","1.0624524354934692","1.0624524354934692","1.0624524354934692"
"254","1.0454299449920654","1.0454299449920654","1.0454299449920654"
"305","1.0331835746765137","1.0331835746765137","1.0331835746765137"
"356","1.0219799280166626","1.0219799280166626","1.0219799280166626"
"407","1.0173271894454956","1.0173271894454956","1.0173271894454956"
"458","1.0119200944900513","1.0119200944900513","1.0119200944900513"
"509","1.0062949657440186","1.0062949657440186","1.0062949657440186"
"560","1.0012634992599487","1.0012634992599487","1.0012634992599487"
"611","0.9981992840766907","0.9981992840766907","0.9981992840766907"
"662","0.9961124658584595","0.9961124658584595","0.9961124658584595"
"713","0.9935385584831238","0.9935385584831238","0.9935385584831238"
"764","0.996576726436615","0.996576726436615","0.996576726436615"
"815","0.9919204711914062","0.9919204711914062","0.9919204711914062"
"866","0.9917592406272888","0.9917592406272888","0.9917592406272888"
"917","0.9907422065734863","0.9907422065734863","0.9907422065734863"
"968","0.990422785282135","0.990422785282135","0.990422785282135"
"1019","0.9903823137283325","0.9903823137283325","0.9903823137283325"
