"Step","codegen-java-LoRa-v7-run-1-effective_seq_length_train-0-128-wandb - eval/loss","codegen-java-LoRa-v7-run-1-effective_seq_length_train-0-128-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-effective_seq_length_train-0-128-wandb - eval/loss__MAX"
"50","1.2013473510742188","1.2013473510742188","1.2013473510742188"
"101","1.1808360815048218","1.1808360815048218","1.1808360815048218"
"152","1.1626795530319214","1.1626795530319214","1.1626795530319214"
"203","1.1455615758895874","1.1455615758895874","1.1455615758895874"
"254","1.1321041584014893","1.1321041584014893","1.1321041584014893"
"305","1.1187998056411743","1.1187998056411743","1.1187998056411743"
"356","1.1124680042266846","1.1124680042266846","1.1124680042266846"
"407","1.1061066389083862","1.1061066389083862","1.1061066389083862"
"458","1.1024043560028076","1.1024043560028076","1.1024043560028076"
"509","1.097198247909546","1.097198247909546","1.097198247909546"
"560","1.1012146472930908","1.1012146472930908","1.1012146472930908"
"611","1.0905617475509644","1.0905617475509644","1.0905617475509644"
"662","1.0874024629592896","1.0874024629592896","1.0874024629592896"
"713","1.0865036249160767","1.0865036249160767","1.0865036249160767"
"764","1.0860108137130737","1.0860108137130737","1.0860108137130737"
"815","1.082321286201477","1.082321286201477","1.082321286201477"
"866","1.0810000896453857","1.0810000896453857","1.0810000896453857"
"917","1.0805305242538452","1.0805305242538452","1.0805305242538452"
"968","1.0802479982376099","1.0802479982376099","1.0802479982376099"
"1019","1.0802209377288818","1.0802209377288818","1.0802209377288818"
