"Step","codegen-java-LoRa-v7-run-1-effective_seq_length_train-2-512-wandb - eval/loss","codegen-java-LoRa-v7-run-1-effective_seq_length_train-2-512-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-effective_seq_length_train-2-512-wandb - eval/loss__MAX"
"50","1.1818927526474","1.1818927526474","1.1818927526474"
"101","1.1373592615127563","1.1373592615127563","1.1373592615127563"
"152","1.1137721538543701","1.1137721538543701","1.1137721538543701"
"203","1.0991754531860352","1.0991754531860352","1.0991754531860352"
"254","1.0820767879486084","1.0820767879486084","1.0820767879486084"
"305","1.069686770439148","1.069686770439148","1.069686770439148"
"356","1.0620465278625488","1.0620465278625488","1.0620465278625488"
"407","1.0544722080230713","1.0544722080230713","1.0544722080230713"
"458","1.0519227981567383","1.0519227981567383","1.0519227981567383"
"509","1.0447425842285156","1.0447425842285156","1.0447425842285156"
"560","1.04433012008667","1.04433012008667","1.04433012008667"
"611","1.0398603677749634","1.0398603677749634","1.0398603677749634"
"662","1.037600040435791","1.037600040435791","1.037600040435791"
"713","1.0360515117645264","1.0360515117645264","1.0360515117645264"
"764","1.0322930812835693","1.0322930812835693","1.0322930812835693"
"815","1.0342508554458618","1.0342508554458618","1.0342508554458618"
"866","1.0320358276367188","1.0320358276367188","1.0320358276367188"
"917","1.0314974784851074","1.0314974784851074","1.0314974784851074"
"968","1.0313125848770142","1.0313125848770142","1.0313125848770142"
"1019","1.0312825441360474","1.0312825441360474","1.0312825441360474"
