"Step","codegen-java-LoRa-v7-run-1-effective_seq_length_train-4-2048-wandb - eval/loss","codegen-java-LoRa-v7-run-1-effective_seq_length_train-4-2048-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-effective_seq_length_train-4-2048-wandb - eval/loss__MAX"
"50","1.1669069528579712","1.1669069528579712","1.1669069528579712"
"101","1.1041792631149292","1.1041792631149292","1.1041792631149292"
"152","1.0750398635864258","1.0750398635864258","1.0750398635864258"
"203","1.0621156692504883","1.0621156692504883","1.0621156692504883"
"254","1.0451593399047852","1.0451593399047852","1.0451593399047852"
"305","1.0328302383422852","1.0328302383422852","1.0328302383422852"
"356","1.0217430591583252","1.0217430591583252","1.0217430591583252"
"407","1.0171743631362915","1.0171743631362915","1.0171743631362915"
"458","1.0116674900054932","1.0116674900054932","1.0116674900054932"
"509","1.006159782409668","1.006159782409668","1.006159782409668"
"560","1.0009222030639648","1.0009222030639648","1.0009222030639648"
"611","0.9978418946266174","0.9978418946266174","0.9978418946266174"
"662","0.9958711862564087","0.9958711862564087","0.9958711862564087"
"713","0.9932834506034851","0.9932834506034851","0.9932834506034851"
"764","0.9962800741195679","0.9962800741195679","0.9962800741195679"
"815","0.9917136430740356","0.9917136430740356","0.9917136430740356"
"866","0.9915506839752197","0.9915506839752197","0.9915506839752197"
"917","0.9905241131782532","0.9905241131782532","0.9905241131782532"
"968","0.9902032017707825","0.9902032017707825","0.9902032017707825"
"1019","0.9901326894760132","0.9901326894760132","0.9901326894760132"
