"Step","codegen-java-LoRa-v7-run-1-per_device_train_batch_size-1-2-wandb - eval/loss","codegen-java-LoRa-v7-run-1-per_device_train_batch_size-1-2-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-per_device_train_batch_size-1-2-wandb - eval/loss__MAX"
"50","1.1723443269729614","1.1723443269729614","1.1723443269729614"
"101","1.1237800121307373","1.1237800121307373","1.1237800121307373"
"152","1.0880041122436523","1.0880041122436523","1.0880041122436523"
"203","1.0685044527053833","1.0685044527053833","1.0685044527053833"
"254","1.0551328659057617","1.0551328659057617","1.0551328659057617"
"305","1.0488104820251465","1.0488104820251465","1.0488104820251465"
"356","1.0407599210739136","1.0407599210739136","1.0407599210739136"
"407","1.0434130430221558","1.0434130430221558","1.0434130430221558"
"458","1.0325100421905518","1.0325100421905518","1.0325100421905518"
"509","1.0274101495742798","1.0274101495742798","1.0274101495742798"
"560","1.0219776630401611","1.0219776630401611","1.0219776630401611"
"611","1.0176414251327515","1.0176414251327515","1.0176414251327515"
"662","1.014272928237915","1.014272928237915","1.014272928237915"
"713","1.010866403579712","1.010866403579712","1.010866403579712"
"764","1.009686827659607","1.009686827659607","1.009686827659607"
"815","1.0083950757980347","1.0083950757980347","1.0083950757980347"
"866","1.0076582431793213","1.0076582431793213","1.0076582431793213"
"917","1.0073341131210327","1.0073341131210327","1.0073341131210327"
"968","1.0071656703948975","1.0071656703948975","1.0071656703948975"
"1019","1.0071107149124146","1.0071107149124146","1.0071107149124146"
