"Step","seq_2048_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_2048_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_2048_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_1024_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_1024_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_1024_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_256_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_256_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_256_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_128_rank_16_module_7_bs_4_gradacc_1_tokens_512000_LoRa - eval/loss","seq_128_rank_16_module_7_bs_4_gradacc_1_tokens_512000_LoRa - eval/loss__MIN","seq_128_rank_16_module_7_bs_4_gradacc_1_tokens_512000_LoRa - eval/loss__MAX"
"259","","","","1.1975376605987549","1.1975376605987549","1.1975376605987549","","","","","","","","",""
"274","","","","","","","1.1949199438095093","1.1949199438095093","1.1949199438095093","","","","","",""
"293","","","","","","","","","","1.210729718208313","1.210729718208313","1.210729718208313","","",""
"299","","","","","","","1.1911824941635132","1.1911824941635132","1.1911824941635132","","","","","",""
"305","","","","","","","","","","","","","1.2313969135284424","1.2313969135284424","1.2313969135284424"
"324","","","","","","","1.18735933303833","1.18735933303833","1.18735933303833","","","","","",""
"342","","","","","","","","","","1.2023180723190308","1.2023180723190308","1.2023180723190308","","",""
"349","","","","","","","1.1850957870483398","1.1850957870483398","1.1850957870483398","","","","","",""
"356","","","","","","","","","","","","","1.2242096662521362","1.2242096662521362","1.2242096662521362"
"374","","","","","","","1.1823335886001587","1.1823335886001587","1.1823335886001587","","","","","",""
"391","","","","","","","","","","1.1996889114379883","1.1996889114379883","1.1996889114379883","","",""
"399","","","","","","","1.180309772491455","1.180309772491455","1.180309772491455","","","","","",""
"407","","","","","","","","","","","","","1.2172597646713257","1.2172597646713257","1.2172597646713257"
"424","","","","","","","1.1792724132537842","1.1792724132537842","1.1792724132537842","","","","","",""
"440","","","","","","","","","","1.1920322179794312","1.1920322179794312","1.1920322179794312","","",""
"449","","","","","","","1.1782909631729126","1.1782909631729126","1.1782909631729126","","","","","",""
"458","","","","","","","","","","","","","1.213435173034668","1.213435173034668","1.213435173034668"
"474","","","","","","","1.1777819395065308","1.1777819395065308","1.1777819395065308","","","","","",""
"489","","","","","","","","","","1.1866627931594849","1.1866627931594849","1.1866627931594849","","",""
"499","","","","","","","1.177391767501831","1.177391767501831","1.177391767501831","","","","","",""
"509","","","","","","","","","","","","","1.2090234756469727","1.2090234756469727","1.2090234756469727"
"538","","","","","","","","","","1.1825530529022217","1.1825530529022217","1.1825530529022217","","",""
"560","","","","","","","","","","","","","1.2113978862762451","1.2113978862762451","1.2113978862762451"
"587","","","","","","","","","","1.177554726600647","1.177554726600647","1.177554726600647","","",""
"611","","","","","","","","","","","","","1.203669548034668","1.203669548034668","1.203669548034668"
"636","","","","","","","","","","1.1747552156448364","1.1747552156448364","1.1747552156448364","","",""
"662","","","","","","","","","","","","","1.200242042541504","1.200242042541504","1.200242042541504"
"685","","","","","","","","","","1.1728626489639282","1.1728626489639282","1.1728626489639282","","",""
"713","","","","","","","","","","","","","1.1996634006500244","1.1996634006500244","1.1996634006500244"
"734","","","","","","","","","","1.169488549232483","1.169488549232483","1.169488549232483","","",""
"764","","","","","","","","","","","","","1.2001360654830933","1.2001360654830933","1.2001360654830933"
"783","","","","","","","","","","1.1665260791778564","1.1665260791778564","1.1665260791778564","","",""
"815","","","","","","","","","","","","","1.1954362392425537","1.1954362392425537","1.1954362392425537"
"832","","","","","","","","","","1.1651828289031982","1.1651828289031982","1.1651828289031982","","",""
"866","","","","","","","","","","","","","1.1933674812316895","1.1933674812316895","1.1933674812316895"
"881","","","","","","","","","","1.164620280265808","1.164620280265808","1.164620280265808","","",""
"917","","","","","","","","","","","","","1.192703366279602","1.192703366279602","1.192703366279602"
"930","","","","","","","","","","1.1641122102737427","1.1641122102737427","1.1641122102737427","","",""
"968","","","","","","","","","","","","","1.1916208267211914","1.1916208267211914","1.1916208267211914"
"979","","","","","","","","","","1.1636090278625488","1.1636090278625488","1.1636090278625488","","",""
"1019","","","","","","","","","","","","","1.191346526145935","1.191346526145935","1.191346526145935"
