"Step","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_6_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_6_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_6_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_5_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_5_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_5_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_4_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_4_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_4_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_3_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_3_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_3_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_2_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_2_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_2_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_1_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_1_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_1_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_0_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_0_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_0_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX"
"274","1.1953864097595215","1.1953864097595215","1.1953864097595215","1.2016273736953735","1.2016273736953735","1.2016273736953735","1.2279942035675049","1.2279942035675049","1.2279942035675049","1.207706093788147","1.207706093788147","1.207706093788147","1.226897120475769","1.226897120475769","1.226897120475769","1.235394835472107","1.235394835472107","1.235394835472107","1.236151933670044","1.236151933670044","1.236151933670044","1.244274616241455","1.244274616241455","1.244274616241455"
"299","1.1917450428009033","1.1917450428009033","1.1917450428009033","1.197380542755127","1.197380542755127","1.197380542755127","1.2249079942703247","1.2249079942703247","1.2249079942703247","1.203845500946045","1.203845500946045","1.203845500946045","1.2238157987594604","1.2238157987594604","1.2238157987594604","1.2324832677841187","1.2324832677841187","1.2324832677841187","1.23323392868042","1.23323392868042","1.23323392868042","1.2415876388549805","1.2415876388549805","1.2415876388549805"
"324","1.1879056692123413","1.1879056692123413","1.1879056692123413","1.1930948495864868","1.1930948495864868","1.1930948495864868","1.2219661474227905","1.2219661474227905","1.2219661474227905","1.199857473373413","1.199857473373413","1.199857473373413","1.221167802810669","1.221167802810669","1.221167802810669","1.2299911975860596","1.2299911975860596","1.2299911975860596","1.2307250499725342","1.2307250499725342","1.2307250499725342","1.2393219470977783","1.2393219470977783","1.2393219470977783"
"349","1.1856025457382202","1.1856025457382202","1.1856025457382202","1.190758228302002","1.190758228302002","1.190758228302002","1.2201530933380127","1.2201530933380127","1.2201530933380127","1.1973884105682373","1.1973884105682373","1.1973884105682373","1.2190933227539062","1.2190933227539062","1.2190933227539062","1.2280354499816895","1.2280354499816895","1.2280354499816895","1.2289063930511475","1.2289063930511475","1.2289063930511475","1.2377004623413086","1.2377004623413086","1.2377004623413086"
"374","1.1828653812408447","1.1828653812408447","1.1828653812408447","1.1879297494888306","1.1879297494888306","1.1879297494888306","1.2178739309310913","1.2178739309310913","1.2178739309310913","1.1948109865188599","1.1948109865188599","1.1948109865188599","1.216995358467102","1.216995358467102","1.216995358467102","1.226076602935791","1.226076602935791","1.226076602935791","1.2271177768707275","1.2271177768707275","1.2271177768707275","1.236149787902832","1.236149787902832","1.236149787902832"
"399","1.180779218673706","1.180779218673706","1.180779218673706","1.185621976852417","1.185621976852417","1.185621976852417","1.2161520719528198","1.2161520719528198","1.2161520719528198","1.1925389766693115","1.1925389766693115","1.1925389766693115","1.2155622243881226","1.2155622243881226","1.2155622243881226","1.2247008085250854","1.2247008085250854","1.2247008085250854","1.225724458694458","1.225724458694458","1.225724458694458","1.2348817586898804","1.2348817586898804","1.2348817586898804"
"424","1.179749846458435","1.179749846458435","1.179749846458435","1.1845608949661255","1.1845608949661255","1.1845608949661255","1.2153844833374023","1.2153844833374023","1.2153844833374023","1.191381812095642","1.191381812095642","1.191381812095642","1.2147084474563599","1.2147084474563599","1.2147084474563599","1.2237986326217651","1.2237986326217651","1.2237986326217651","1.2249809503555298","1.2249809503555298","1.2249809503555298","1.2341409921646118","1.2341409921646118","1.2341409921646118"
"449","1.1787922382354736","1.1787922382354736","1.1787922382354736","1.1834721565246582","1.1834721565246582","1.1834721565246582","1.2146022319793701","1.2146022319793701","1.2146022319793701","1.1903024911880493","1.1903024911880493","1.1903024911880493","1.2140660285949707","1.2140660285949707","1.2140660285949707","1.2232391834259033","1.2232391834259033","1.2232391834259033","1.2244187593460083","1.2244187593460083","1.2244187593460083","1.2336738109588623","1.2336738109588623","1.2336738109588623"
"474","1.1782395839691162","1.1782395839691162","1.1782395839691162","1.1829930543899536","1.1829930543899536","1.1829930543899536","1.2142174243927002","1.2142174243927002","1.2142174243927002","1.1897765398025513","1.1897765398025513","1.1897765398025513","1.2136460542678833","1.2136460542678833","1.2136460542678833","1.2228164672851562","1.2228164672851562","1.2228164672851562","1.2240923643112183","1.2240923643112183","1.2240923643112183","1.2333829402923584","1.2333829402923584","1.2333829402923584"
"499","1.1778448820114136","1.1778448820114136","1.1778448820114136","1.1826156377792358","1.1826156377792358","1.1826156377792358","1.2139053344726562","1.2139053344726562","1.2139053344726562","1.189416527748108","1.189416527748108","1.189416527748108","1.2133747339248657","1.2133747339248657","1.2133747339248657","1.222579836845398","1.222579836845398","1.222579836845398","1.22382390499115","1.22382390499115","1.22382390499115","1.233189582824707","1.233189582824707","1.233189582824707"
