"Step","seq_512_rank_128_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_128_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_128_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_64_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_64_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_64_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_32_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_32_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_32_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_8_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_8_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_8_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX"
"274","1.1407780647277832","1.1407780647277832","1.1407780647277832","1.1607601642608643","1.1607601642608643","1.1607601642608643","1.1783442497253418","1.1783442497253418","1.1783442497253418","1.1949199438095093","1.1949199438095093","1.1949199438095093","1.210768461227417","1.210768461227417","1.210768461227417"
"299","1.1363444328308105","1.1363444328308105","1.1363444328308105","1.1566135883331299","1.1566135883331299","1.1566135883331299","1.1742204427719116","1.1742204427719116","1.1742204427719116","1.1911824941635132","1.1911824941635132","1.1911824941635132","1.2071131467819214","1.2071131467819214","1.2071131467819214"
"324","1.1328743696212769","1.1328743696212769","1.1328743696212769","1.1528040170669556","1.1528040170669556","1.1528040170669556","1.1702195405960083","1.1702195405960083","1.1702195405960083","1.18735933303833","1.18735933303833","1.18735933303833","1.203626275062561","1.203626275062561","1.203626275062561"
"349","1.1310867071151733","1.1310867071151733","1.1310867071151733","1.1509714126586914","1.1509714126586914","1.1509714126586914","1.1682149171829224","1.1682149171829224","1.1682149171829224","1.1850957870483398","1.1850957870483398","1.1850957870483398","1.2010971307754517","1.2010971307754517","1.2010971307754517"
"374","1.1278059482574463","1.1278059482574463","1.1278059482574463","1.1478683948516846","1.1478683948516846","1.1478683948516846","1.1653035879135132","1.1653035879135132","1.1653035879135132","1.1823335886001587","1.1823335886001587","1.1823335886001587","1.19850754737854","1.19850754737854","1.19850754737854"
"399","1.1249696016311646","1.1249696016311646","1.1249696016311646","1.1453238725662231","1.1453238725662231","1.1453238725662231","1.1629256010055542","1.1629256010055542","1.1629256010055542","1.180309772491455","1.180309772491455","1.180309772491455","1.1967025995254517","1.1967025995254517","1.1967025995254517"
"424","1.123726725578308","1.123726725578308","1.123726725578308","1.1442408561706543","1.1442408561706543","1.1442408561706543","1.1618304252624512","1.1618304252624512","1.1618304252624512","1.1792724132537842","1.1792724132537842","1.1792724132537842","1.1957474946975708","1.1957474946975708","1.1957474946975708"
"449","1.122788429260254","1.122788429260254","1.122788429260254","1.143250823020935","1.143250823020935","1.143250823020935","1.1607998609542847","1.1607998609542847","1.1607998609542847","1.1782909631729126","1.1782909631729126","1.1782909631729126","1.194879174232483","1.194879174232483","1.194879174232483"
"474","1.1221328973770142","1.1221328973770142","1.1221328973770142","1.1427136659622192","1.1427136659622192","1.1427136659622192","1.160292625427246","1.160292625427246","1.160292625427246","1.1777819395065308","1.1777819395065308","1.1777819395065308","1.1943165063858032","1.1943165063858032","1.1943165063858032"
"499","1.1214663982391357","1.1214663982391357","1.1214663982391357","1.1421778202056885","1.1421778202056885","1.1421778202056885","1.1598365306854248","1.1598365306854248","1.1598365306854248","1.177391767501831","1.177391767501831","1.177391767501831","1.193987250328064","1.193987250328064","1.193987250328064"
